Rk,Season,Team,G,W,L,W/L%,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,DRB%,FTr,opp_eFG%,opp_TS%,opp_TOV%,opp_ORB%,opp_DRB%,opp_FTr
1,2023-24,Youngstown State,32,22,10,0.688,70.8,113.8,99.4,0.519,0.554,13.1,35.0,72.1,0.285,0.479,0.509,14.7,27.9,65.0,0.282
2,2022-23,Youngstown State,34,24,10,0.706,69.5,115.8,102.5,0.552,0.585,13.6,31.0,71.1,0.295,0.508,0.533,15.9,28.9,69.0,0.254
3,2021-22,Youngstown State,34,19,15,0.559,67.6,107.1,103.0,0.513,0.55,15.1,30.5,72.2,0.307,0.501,0.532,15.2,27.8,69.5,0.287
4,2020-21,Youngstown State,27,15,12,0.556,69.1,106.3,103.1,0.484,0.522,13.9,33.6,71.5,0.321,0.527,0.553,17.9,28.5,66.4,0.262
5,2019-20,Youngstown State,33,18,15,0.545,68.6,104.8,102.7,0.481,0.511,14.5,35.7,70.6,0.3,0.495,0.526,15.1,29.4,64.3,0.307
6,2023-24,Yale,33,23,10,0.697,66.1,111.2,100.5,0.528,0.553,12.4,28.9,76.3,0.277,0.491,0.525,14.7,23.7,71.1,0.279
7,2022-23,Yale,30,21,9,0.7,67.5,111.3,92.9,0.54,0.564,14.3,29.7,76.9,0.3,0.461,0.498,16.5,23.1,70.3,0.327
8,2021-22,Yale,31,19,12,0.613,70.3,101.8,98.0,0.501,0.537,16.1,25.7,73.7,0.321,0.486,0.518,16.5,26.3,74.3,0.318
9,2019-20,Yale,30,23,7,0.767,68.2,108.3,92.5,0.545,0.573,16.3,27.4,79.0,0.33,0.459,0.492,15.5,21.0,72.6,0.253
10,2023-24,Xavier,34,16,18,0.471,71.5,106.1,104.4,0.491,0.53,14.0,31.9,71.1,0.318,0.495,0.527,13.9,28.9,68.1,0.297
11,2022-23,Xavier,37,27,10,0.73,72.0,112.1,102.6,0.552,0.578,15.0,30.7,75.0,0.314,0.503,0.532,14.4,25.0,69.3,0.27
12,2021-22,Xavier,36,23,13,0.639,69.1,105.8,98.8,0.509,0.541,14.6,29.3,73.9,0.353,0.483,0.516,15.9,26.1,70.7,0.259
13,2020-21,Xavier,21,13,8,0.619,69.5,106.3,99.8,0.521,0.544,14.0,26.8,72.7,0.259,0.476,0.506,14.2,27.3,73.2,0.235
14,2019-20,Xavier,32,19,13,0.594,69.1,100.2,95.8,0.49,0.516,16.9,32.2,72.4,0.309,0.464,0.5,16.3,27.6,67.8,0.289
15,2023-24,Wyoming,32,15,17,0.469,67.9,106.4,108.8,0.519,0.56,16.4,29.1,71.2,0.391,0.522,0.551,14.3,28.8,70.9,0.271
16,2022-23,Wyoming,31,9,22,0.29,66.4,103.7,108.1,0.52,0.551,16.0,24.1,74.9,0.332,0.531,0.567,14.9,25.1,75.9,0.289
17,2021-22,Wyoming,34,25,9,0.735,66.3,107.8,97.3,0.531,0.565,15.0,25.5,75.8,0.359,0.472,0.501,14.1,24.2,74.5,0.241
18,2020-21,Wyoming,25,14,11,0.56,69.9,108.5,106.9,0.537,0.569,14.3,22.9,72.2,0.353,0.529,0.56,16.0,27.8,77.1,0.339
19,2019-20,Wyoming,33,9,24,0.273,67.6,91.8,102.4,0.484,0.52,17.3,14.5,71.8,0.305,0.501,0.535,16.4,28.2,85.5,0.365
20,2023-24,Wright State,32,18,14,0.563,72.6,117.7,110.6,0.586,0.615,14.4,28.6,72.1,0.328,0.542,0.568,14.6,27.9,71.4,0.292
21,2022-23,Wright State,33,18,15,0.545,72.0,108.5,100.1,0.546,0.569,15.3,27.3,73.3,0.242,0.499,0.523,15.7,26.7,72.7,0.269
22,2021-22,Wright State,36,22,14,0.611,70.0,108.3,102.6,0.516,0.554,15.2,30.8,70.6,0.318,0.51,0.536,16.3,29.4,69.2,0.256
23,2020-21,Wright State,24,18,6,0.75,72.1,113.0,93.0,0.544,0.574,15.5,34.2,75.0,0.345,0.451,0.478,14.6,25.0,65.8,0.218
24,2019-20,Wright State,32,25,7,0.781,73.1,109.0,95.6,0.518,0.546,14.4,32.2,70.7,0.369,0.465,0.497,16.6,29.3,67.8,0.264
25,2023-24,Wofford,32,17,15,0.531,67.5,108.7,107.7,0.539,0.552,14.7,30.2,75.4,0.279,0.508,0.545,12.3,24.6,69.8,0.328
26,2022-23,Wofford,33,17,16,0.515,66.4,110.8,107.5,0.537,0.566,14.2,29.8,73.0,0.288,0.533,0.559,14.7,27.0,70.2,0.256
27,2021-22,Wofford,32,19,13,0.594,65.6,110.2,100.6,0.551,0.581,15.7,28.3,78.5,0.287,0.531,0.561,18.3,21.5,71.7,0.285
28,2020-21,Wofford,24,15,9,0.625,67.6,109.4,99.8,0.56,0.579,16.6,27.7,74.0,0.254,0.507,0.53,16.8,26.0,72.3,0.248
29,2019-20,Wofford,35,19,16,0.543,66.9,106.6,101.4,0.547,0.57,16.1,25.0,75.1,0.263,0.512,0.544,16.4,24.9,75.0,0.319
30,2023-24,Wisconsin,36,22,14,0.611,66.0,112.0,105.0,0.522,0.56,13.0,30.2,75.6,0.338,0.52,0.554,15.1,24.4,69.8,0.338
31,2022-23,Wisconsin,35,20,15,0.571,63.2,101.1,98.5,0.483,0.509,11.9,22.6,75.1,0.25,0.502,0.526,16.3,24.9,77.4,0.275
32,2021-22,Wisconsin,33,25,8,0.758,67.0,104.4,98.5,0.477,0.518,11.4,26.0,75.6,0.324,0.489,0.516,15.2,24.4,74.0,0.272
33,2020-21,Wisconsin,31,18,13,0.581,65.8,105.4,97.4,0.499,0.533,12.1,23.6,75.2,0.262,0.479,0.511,15.4,24.8,76.4,0.284
34,2019-20,Wisconsin,31,21,10,0.677,64.4,103.8,96.1,0.503,0.537,13.8,24.1,74.1,0.269,0.464,0.492,14.8,25.9,75.9,0.253
35,2023-24,Winthrop,32,17,15,0.531,68.3,110.7,102.3,0.531,0.57,16.1,31.8,69.0,0.486,0.488,0.53,16.5,31.0,68.2,0.332
36,2022-23,Winthrop,32,15,17,0.469,67.8,108.4,109.4,0.556,0.592,18.3,26.5,66.6,0.408,0.537,0.553,15.3,33.4,73.5,0.293
37,2021-22,Winthrop,32,23,9,0.719,69.3,107.3,100.1,0.565,0.591,18.7,26.7,74.2,0.369,0.502,0.534,17.1,25.8,73.3,0.327
38,2020-21,Winthrop,25,23,2,0.92,72.5,108.8,92.5,0.526,0.555,16.4,35.0,78.2,0.356,0.491,0.52,19.8,21.8,65.0,0.344
39,2019-20,Winthrop,34,24,10,0.706,72.6,110.8,97.4,0.538,0.557,16.0,35.1,76.1,0.358,0.498,0.532,17.9,23.9,64.9,0.415
40,2023-24,William & Mary,33,10,23,0.303,66.7,104.4,107.8,0.49,0.523,13.9,28.1,71.9,0.325,0.505,0.543,12.8,28.1,71.9,0.338
41,2022-23,William & Mary,33,13,20,0.394,65.3,102.6,107.2,0.502,0.53,16.0,29.2,71.2,0.306,0.528,0.552,15.1,28.8,70.8,0.272
