Rk,Season,Team,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,opp_FG,opp_FGA,opp_2P,opp_2PA,opp_3P,opp_3PA,opp_FT,opp_FTA,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,opp_PTS
1,2023-24,Youngstown State,32,22,10,0.688,201.6,29.1,64.5,20.3,37.3,8.8,27.3,14.2,18.4,12.8,27.2,40.0,15.3,6.2,4.9,11.0,16.3,81.2,25.7,61.4,18.2,38.9,7.5,22.6,12.1,17.3,10.5,23.8,34.3,14.1,6.0,2.9,12.0,17.1,70.9
2,2022-23,Youngstown State,34,24,10,0.706,203.7,29.9,61.4,21.9,39.6,8.0,21.9,14.1,18.1,10.3,25.1,35.4,15.3,7.0,2.8,11.1,16.2,81.9,27.3,60.7,20.3,40.2,7.0,20.5,10.9,15.4,10.2,22.9,33.1,13.4,5.2,2.4,12.9,16.3,72.5
3,2021-22,Youngstown State,34,19,15,0.559,200.7,25.8,57.6,18.3,35.7,7.5,21.9,13.5,17.7,10.2,24.5,34.7,11.9,5.4,2.6,11.7,17.4,72.6,25.4,57.8,18.4,37.1,7.0,20.7,11.9,16.6,9.4,23.1,32.6,12.5,5.9,3.1,11.8,17.3,69.8
4,2020-21,Youngstown State,27,15,12,0.556,202.8,26.6,61.9,19.7,39.5,6.9,22.4,14.4,19.9,12.8,23.9,36.7,12.9,6.0,1.6,11.5,16.3,74.4,26.6,58.1,18.5,35.1,8.1,23.0,10.9,15.2,9.5,25.3,34.8,14.0,5.7,3.1,14.3,17.5,72.2
5,2019-20,Youngstown State,33,18,15,0.545,202.3,26.4,62.3,19.2,39.1,7.2,23.2,12.9,18.7,13.7,25.3,39.0,12.5,5.7,2.6,12.0,17.5,72.8,25.9,59.1,19.2,39.5,6.7,19.6,12.7,18.2,10.5,24.6,35.2,12.7,5.7,3.3,12.1,17.2,71.2
6,2023-24,Yale,33,23,10,0.697,203.0,27.8,59.7,20.5,38.8,7.3,20.8,11.7,16.5,9.9,26.6,36.5,15.0,6.2,3.2,9.6,15.1,74.7,23.9,56.8,15.8,33.0,8.0,23.8,11.7,15.8,8.3,24.3,32.6,13.7,5.5,3.4,11.1,16.1,67.5
7,2022-23,Yale,30,21,9,0.7,201.7,28.0,58.8,20.6,38.1,7.5,20.7,12.2,17.6,9.9,27.8,37.8,14.6,6.4,4.1,11.2,17.4,75.8,21.8,55.0,14.6,32.6,7.2,22.4,12.5,18.0,8.4,23.5,31.9,11.0,5.8,2.8,12.6,16.9,63.2
8,2021-22,Yale,31,19,12,0.613,200.8,25.6,58.1,18.8,37.2,6.8,20.9,13.7,18.6,9.0,26.9,35.9,12.0,6.2,3.2,12.8,17.5,71.8,24.5,58.0,17.2,34.0,7.3,24.0,12.7,18.5,9.6,25.9,35.5,11.9,7.3,3.5,13.2,17.5,69.1
9,2019-20,Yale,30,23,7,0.767,206.7,27.0,57.5,18.1,33.7,8.8,23.8,13.5,19.0,9.1,29.8,38.9,15.5,6.3,3.4,13.0,15.0,76.3,23.5,59.1,16.1,35.2,7.4,23.9,10.8,15.0,7.9,24.1,32.0,11.9,6.7,3.0,12.1,17.4,65.1
10,2023-24,Xavier,34,16,18,0.471,200.0,27.1,62.2,20.3,42.3,6.8,19.9,14.7,19.8,11.8,26.4,38.1,16.2,6.9,3.4,11.6,16.8,75.9,27.1,62.1,19.7,40.1,7.4,22.0,13.1,18.4,10.7,25.2,36.0,16.1,6.3,4.8,11.4,17.6,74.6
