Id,Season,Team,G,W,L,W/L%,Min/G,FG/G,FGA/G,2P/G,2PA/G,3P/G,3PA/G,FT/G,FTA/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,opp_FG/G,opp_FGA/G,opp_2P/G,opp_2PA/G,opp_3P/G,opp_3PA/G,opp_FT/G,opp_FTA/G,opp_ORB/G,opp_DRB/G,opp_TRB/G,opp_AST/G,opp_STL/G,opp_BLK/G,opp_TOV/G,opp_PF/G,opp_PTS/G
1,2023-24,Maryland,33,16,17,0.485,202.3,23.2,56.2,17.1,35.1,6.1,21.1,16.5,22.9,11.5,24.2,35.7,10.9,6.6,4.5,11.7,17.5,69,23.1,55.3,17.7,38.7,5.5,16.6,14.2,18.5,9.9,24.8,34.8,11.1,5.8,3.6,12.6,19,65.9
2,2022-23,Maryland,35,22,13,0.629,200.7,24.6,55,18,34.7,6.7,20.3,13.8,18.9,9.8,23.8,33.6,11.4,5.5,3.7,10.7,16,69.7,23.3,54.6,17.6,37.2,5.6,17.4,11.3,15.5,9.3,22.8,32.1,11,4.8,3.4,11.9,18.3,63.51
3,2021-22,Seton Hall,32,21,11,0.656,200.8,25.3,60.2,17.9,38.5,7.3,21.6,14.1,18.8,12.1,26.4,38.5,10.3,7.1,5.4,12.1,15.6,71.9,23.9,59.3,17.6,39.2,6.3,20.2,12.4,16,10.8,25,35.8,11.5,6.4,4.2,12.7,16.4,66.4
4,2020-21,Seton Hall,27,14,13,0.519,202.8,24.9,56.5,18.3,35.7,6.7,20.8,14.7,20.1,10.2,24.6,34.9,12.9,6.3,4.4,13,16.4,71.3,25.2,58.4,17.9,38.3,7.3,20,12,15.9,10.4,24.2,34.7,12.2,6.6,3.4,13.2,17.8,69.7
5,2019-20,Seton Hall,30,21,9,0.7,200,26.1,58.5,18.2,34.8,7.9,23.7,14.6,20.4,10.3,26.8,37.1,14.6,7,5.8,13.3,18.6,74.7,23.9,59.5,17.3,39,6.6,20.5,13.5,19.3,11.7,24.9,36.6,11.6,6.4,3.1,13.8,17.9,67.9
6,2018-19,Seton Hall,34,20,14,0.588,202.2,26.1,59.4,19.1,37.6,7.1,21.8,14.5,20.5,10.6,25.1,35.7,13.5,6.9,3.9,12.4,18.8,73.8,24.9,58.1,16.9,34.7,7.9,23.3,14.1,19.1,10.4,25.3,35.6,13.2,5.7,4.4,14,18.3,71.9
7,2017-18,Seton Hall,34,22,12,0.647,201.5,28.6,61,21.2,40.8,7.4,20.1,15,21.4,12.2,26.1,38.3,15.5,6.2,3.4,12.7,18.1,79.4,26.6,60.5,18.9,37.7,7.7,22.8,13.1,18,10.2,23.6,33.8,13,5.9,3.3,12.7,19.5,73.9
8,2016-17,Seton Hall,33,21,12,0.636,202.3,26.4,59.1,20.3,40.9,6.1,18.1,14.3,22.2,13.3,26.4,39.7,12.3,6.9,2.5,13.6,18.6,73.2,24.6,56.7,18.1,37.7,6.5,19,14.8,20.5,8.9,24,32.9,12.1,7,3.5,12.2,19.5,70.4
9,2015-16,Seton Hall,34,25,9,0.735,200.7,26.2,58.8,20.2,41.3,6.1,17.5,15.6,23.8,12.9,27,39.9,13.4,7.4,4.6,13.8,18.7,74.2,23.9,59.6,17.7,39.9,6.2,19.7,13.7,20.1,12,24.2,36.2,12.2,7.2,4,13.8,21.1,67.8
10,2014-15,Seton Hall,31,16,15,0.516,201.6,23.7,56.3,16.8,36.6,6.9,19.6,14.1,21.4,12.6,23.6,36.2,12.4,6,4.1,12.4,19.2,68.4,24.3,56.4,18.9,38.5,5.4,18,14.1,21.4,11.7,23.8,35.5,13.3,6.7,3.7,12,19,68
11,2013-14,Seton Hall,34,17,17,0.5,203.7,24,52.9,16.6,32.1,7.4,20.7,16.4,22.8,8.5,24,32.4,13.3,6.6,2.7,12.2,19.9,71.8,23.9,53.8,17.6,35.9,6.2,17.9,15.9,22.4,9.5,23.6,33,12.1,5.6,3.9,12.3,19.5,69.9
12,2012-13,Seton Hall,33,15,18,0.455,201.5,22.5,51.6,14.6,30.1,7.9,21.5,11.7,17.8,10,20.8,30.9,14,6.8,2.6,15.6,18.9,64.7,22.3,54,16.5,36.9,5.8,17.1,14.8,21.1,11.5,22.4,33.8,12.7,9,3.5,12.7,17,65.2
13,2011-12,Seton Hall,34,21,13,0.618,202.2,24.5,56.3,17.6,36.6,6.9,19.6,12.4,18.4,11.2,21.5,32.7,14,8.4,3.1,12.7,17.8,68.4,22.3,54,16.6,35.3,5.7,18.7,13.6,19,10.5,23.6,34.1,12.2,5.9,4.9,14.5,17.3,63.8
14,2010-11,Seton Hall,31,13,18,0.419,201.6,24.5,59.3,18.5,39.6,6,19.7,12.5,18.6,11.2,24.3,35.5,13.6,7.3,3.5,12.3,19,67.5,23.3,55.8,18.1,39.4,5.2,16.4,14,21.4,11.4,26,37.4,11.8,6.1,4.5,14.4,17.1,65.8
15,2009-10,Iona,31,21,10,0.677,200.8,22.6,53.8,15.3,33.8,7.3,20,13.6,20,10.4,23.2,33.6,13.6,7.9,2.9,13.5,19.8,66.1,20.3,50.8,15,34.7,5.3,16.1,16.1,24,11.4,24.5,35.9,10.4,7.2,4.7,16.3,18,62
16,2008-09,Iona,31,12,19,0.387,203.2,20.5,49.7,14.9,32.8,5.6,16.9,15.5,23.6,10.7,22.4,33.1,12.2,6.6,2.9,15.7,19.9,62.3,21.2,50.5,15.1,31.9,6.1,18.6,,,,,32.5,,,,15.7,,63.1
